epoch,dice_coef,iou,loss,precision_m,recall_m,val_dice_coef,val_iou,val_loss,val_precision_m,val_recall_m
0,0.09065140783786774,0.2238907665014267,1.1290491819381714,0.2870863378047943,0.5077512264251709,0.1527424156665802,0.3783254623413086,0.9148480892181396,0.48111799359321594,0.6572252511978149
1,0.2335982769727707,0.36384645104408264,0.7949819564819336,0.4278852343559265,0.7152695655822754,0.2221788913011551,0.34467148780822754,0.8016916513442993,0.900244951248169,0.36375510692596436
2,0.41924193501472473,0.44990772008895874,0.5692038536071777,0.538867175579071,0.7402381896972656,0.5182562470436096,0.5067490339279175,0.49274304509162903,0.7578582763671875,0.6416089534759521
3,0.5523951053619385,0.5058264136314392,0.4447474181652069,0.6114845275878906,0.7572288513183594,0.5535078644752502,0.4916682541370392,0.4926707446575165,0.8190999627113342,0.5665387511253357
4,0.6296581625938416,0.5480918884277344,0.37683582305908203,0.6509791612625122,0.7742950916290283,0.6800622940063477,0.5825255513191223,0.3395417630672455,0.7347652316093445,0.7536798715591431
5,0.6721893548965454,0.5746031403541565,0.3380690813064575,0.6763026714324951,0.7936798334121704,0.6678300499916077,0.5460618138313293,0.3484322130680084,0.6659207940101624,0.7847489714622498
6,0.6968327760696411,0.5906023383140564,0.3139619827270508,0.6903285384178162,0.8117852210998535,0.7135341167449951,0.6130572557449341,0.33849677443504333,0.8547747135162354,0.7025818824768066
7,0.7130646109580994,0.6049029231071472,0.29839128255844116,0.6984350681304932,0.8198897838592529,0.7337294816970825,0.6262807250022888,0.3019072711467743,0.8042983412742615,0.752597451210022
8,0.7296355962753296,0.6211142539978027,0.28138166666030884,0.7116154432296753,0.832344114780426,0.2911378741264343,0.22727961838245392,0.839752197265625,0.9287163615226746,0.23863248527050018
9,0.736890971660614,0.6280145645141602,0.2746683657169342,0.718781590461731,0.8315867185592651,0.7425205111503601,0.6261042952537537,0.274519145488739,0.7342105507850647,0.817723274230957
10,0.7413927316665649,0.6306388974189758,0.26822149753570557,0.7215869426727295,0.839878499507904,0.3070043921470642,0.23080818355083466,0.8384486436843872,0.9206804633140564,0.2467213273048401
11,0.7554176449775696,0.6463174223899841,0.25467967987060547,0.7351217269897461,0.8450672030448914,0.7781334519386292,0.6801543235778809,0.2505989074707031,0.8213046789169312,0.8010329604148865
12,0.7640353441238403,0.6558656096458435,0.2452414482831955,0.7439166307449341,0.8488168120384216,0.7589312791824341,0.6515059471130371,0.2562454044818878,0.7644989490509033,0.8154730796813965
13,0.7699353098869324,0.6631109714508057,0.23807689547538757,0.7478437423706055,0.8556897044181824,0.6938710808753967,0.5851525068283081,0.37088197469711304,0.8539137840270996,0.668024480342865
14,0.7811415195465088,0.6765671372413635,0.22676026821136475,0.7603200674057007,0.86117023229599,0.7347936630249023,0.6231352686882019,0.30911785364151,0.8160585761070251,0.7413439154624939
15,0.7839444875717163,0.6779447793960571,0.2233850061893463,0.7631423473358154,0.8638932108879089,0.7549835443496704,0.6402003169059753,0.2709749937057495,0.7874174118041992,0.796477198600769
16,0.7872005105018616,0.683904230594635,0.21935983002185822,0.7628321051597595,0.8679911494255066,0.7856868505477905,0.683509111404419,0.24321871995925903,0.8350309133529663,0.8073134422302246
17,0.7839517593383789,0.6787751913070679,0.2227516919374466,0.7595745921134949,0.8677018880844116,0.6560015082359314,0.5477070808410645,0.43186482787132263,0.8873958587646484,0.6041134595870972
18,0.791512668132782,0.6880561113357544,0.2149427831172943,0.7690134644508362,0.8698240518569946,0.7461361885070801,0.6339061856269836,0.2961965799331665,0.8287171125411987,0.7517465353012085
19,0.801673948764801,0.7005807757377625,0.20403775572776794,0.7780365347862244,0.8747339844703674,0.7348034977912903,0.632742166519165,0.32020384073257446,0.8847978711128235,0.706941545009613
20,0.806350588798523,0.7059781551361084,0.1991528868675232,0.7841941714286804,0.8797188401222229,0.7169798612594604,0.6096346378326416,0.3493973910808563,0.868966281414032,0.6832680106163025
21,0.8009591102600098,0.6994929313659668,0.20601126551628113,0.7810700535774231,0.8738148212432861,0.7842966318130493,0.6785991191864014,0.2389145940542221,0.8171370625495911,0.8180772662162781
22,0.8101758360862732,0.7106284499168396,0.19451497495174408,0.7859973907470703,0.8828160166740417,0.7933596968650818,0.6913235187530518,0.2312343865633011,0.8171824216842651,0.8283671140670776
23,0.8177522420883179,0.7192671895027161,0.1862703114748001,0.7917276620864868,0.8888586759567261,0.7829787731170654,0.6760936975479126,0.24917510151863098,0.8350119590759277,0.7935811877250671
24,0.8106350898742676,0.7096971869468689,0.19338509440422058,0.7816556692123413,0.8870253562927246,0.7604681849479675,0.6559450626373291,0.27556848526000977,0.8288393020629883,0.7758141160011292
25,0.8195950984954834,0.7212666869163513,0.18409042060375214,0.7928053736686707,0.8905586004257202,0.7866442799568176,0.6802995204925537,0.2246425598859787,0.7841789722442627,0.8521960973739624
26,0.8207772374153137,0.7228749394416809,0.18259581923484802,0.7938706874847412,0.8939945101737976,0.7885949015617371,0.6834710836410522,0.2281293272972107,0.7914522290229797,0.843106746673584
27,0.8197464942932129,0.7225211262702942,0.1849547177553177,0.7963763475418091,0.8893491625785828,0.7810786962509155,0.6730806231498718,0.23713921010494232,0.7884653210639954,0.8283406496047974
28,0.8344594836235046,0.7395801544189453,0.1675349473953247,0.8056492805480957,0.9029794931411743,0.7963736057281494,0.6927120089530945,0.22079497575759888,0.7962276339530945,0.8501057624816895
29,0.8333728313446045,0.7382442951202393,0.16950048506259918,0.8058834075927734,0.9009868502616882,0.797066330909729,0.6965556740760803,0.2402891367673874,0.8611327409744263,0.7962464690208435
