epoch,dice_coef,iou,loss,precision_m,recall_m,val_dice_coef,val_iou,val_loss,val_precision_m,val_recall_m
0,0.10502923280000687,0.2050638347864151,1.0984771251678467,0.28621143102645874,0.41772839426994324,0.18974348902702332,0.26915231347084045,0.9053620100021362,0.3867935538291931,0.5466986894607544
1,0.3221490979194641,0.38888391852378845,0.7490469217300415,0.49828046560287476,0.6454852819442749,0.39565253257751465,0.4208782911300659,0.6502443552017212,0.8326237797737122,0.4659617841243744
2,0.521395742893219,0.4708592891693115,0.5304487943649292,0.6347700953483582,0.6508322954177856,0.509308397769928,0.42460697889328003,0.5523097515106201,0.7257755994796753,0.5299122333526611
3,0.6141316890716553,0.5201529860496521,0.43516331911087036,0.7009599208831787,0.6747519373893738,0.663652241230011,0.5518783926963806,0.37850499153137207,0.6557722687721252,0.7795315384864807
4,0.6668500304222107,0.5610108971595764,0.37888026237487793,0.7326454520225525,0.7055507302284241,0.6985131502151489,0.5843437314033508,0.3433811664581299,0.7667100429534912,0.7334252595901489
5,0.6929710507392883,0.5842053890228271,0.3512967526912689,0.7540484666824341,0.7216143608093262,0.7061551213264465,0.5907898545265198,0.33161279559135437,0.6905584931373596,0.7962670922279358
6,0.7043416500091553,0.5946348309516907,0.33793216943740845,0.7561922669410706,0.7336905002593994,0.7093591094017029,0.602035641670227,0.33447009325027466,0.8821442127227783,0.6621662974357605
7,0.7178280353546143,0.6079028248786926,0.3220522999763489,0.7657448053359985,0.7479850053787231,0.6852352023124695,0.5840217471122742,0.3569313585758209,0.908167839050293,0.6264825463294983
8,0.738264799118042,0.6296253800392151,0.2994886636734009,0.7773117423057556,0.7674195170402527,0.7579047083854675,0.6550019979476929,0.2746831774711609,0.8297675848007202,0.76387619972229
9,0.7420127391815186,0.6337065696716309,0.2952510118484497,0.7895569205284119,0.761659562587738,0.6539282202720642,0.5544309020042419,0.39021429419517517,0.8050529360771179,0.6335079073905945
10,0.753226637840271,0.644900381565094,0.28202635049819946,0.7929983139038086,0.77720707654953,0.7567154169082642,0.6529330015182495,0.27711793780326843,0.8577991724014282,0.7417343258857727
11,0.760457456111908,0.6525746583938599,0.27415362000465393,0.7956289649009705,0.7844316363334656,0.7375726699829102,0.6362929940223694,0.2970905900001526,0.8620094060897827,0.7121700644493103
12,0.7755445241928101,0.6703921556472778,0.25651228427886963,0.8088060021400452,0.7980531454086304,0.7344841361045837,0.632441520690918,0.3031803369522095,0.8784989714622498,0.6948321461677551
13,0.7727646827697754,0.6688517332077026,0.25961828231811523,0.8105806112289429,0.7906863689422607,0.7463933229446411,0.6413565278053284,0.2873437702655792,0.8103766441345215,0.7572398781776428
14,0.8113434314727783,0.7142935395240784,0.21472331881523132,0.8397389054298401,0.8258681297302246,0.795742392539978,0.696943461894989,0.2323479950428009,0.8614007234573364,0.7915300130844116
15,0.8180886507034302,0.7216898202896118,0.2070959508419037,0.8482060432434082,0.8308639526367188,0.8038747310638428,0.7050060033798218,0.22354747354984283,0.8767027258872986,0.791950523853302
16,0.8201945424079895,0.7257946133613586,0.2048989087343216,0.8469353914260864,0.8350900411605835,0.8034763932228088,0.704963743686676,0.2237531840801239,0.8754172921180725,0.793392539024353
17,0.8273897171020508,0.7336398959159851,0.19654707610607147,0.8533251881599426,0.841383695602417,0.8028532862663269,0.7044618129730225,0.2247418463230133,0.8720351457595825,0.7943135499954224
18,0.8290926218032837,0.7362663149833679,0.19485566020011902,0.8560923337936401,0.8409425020217896,0.8058301210403442,0.7074635624885559,0.22115354239940643,0.8704904913902283,0.8002228140830994
19,0.8319126963615417,0.7404676079750061,0.19147314131259918,0.8551657795906067,0.8454062342643738,0.8056496381759644,0.7090188264846802,0.22160206735134125,0.8688253164291382,0.8030977249145508
20,0.832925021648407,0.7408927083015442,0.19034844636917114,0.8576284646987915,0.8465292453765869,0.8121866583824158,0.715158224105835,0.21448634564876556,0.8748696446418762,0.8059877157211304
21,0.8359480500221252,0.7453249096870422,0.1868780106306076,0.8621598482131958,0.8463178873062134,0.8114558458328247,0.7150211334228516,0.2149784415960312,0.8650113940238953,0.8148403167724609
22,0.8417490124702454,0.752217710018158,0.18058623373508453,0.8661011457443237,0.8518076539039612,0.8093956708908081,0.7122365236282349,0.21764077246189117,0.8714104890823364,0.8062011003494263
23,0.8402366638183594,0.7508234977722168,0.18172398209571838,0.8640377521514893,0.8507798910140991,0.8065028786659241,0.7083128690719604,0.2209124118089676,0.8716762065887451,0.8030107021331787
24,0.8438141345977783,0.7538195252418518,0.17833827435970306,0.8668753504753113,0.8534038066864014,0.8142720460891724,0.7171971201896667,0.2120731920003891,0.8641646504402161,0.818980872631073
25,0.845065176486969,0.7563811540603638,0.17667482793331146,0.8675021529197693,0.8559598326683044,0.8147169947624207,0.7188912630081177,0.21224454045295715,0.8659100532531738,0.8213101625442505
26,0.8448457717895508,0.7560417652130127,0.17658506333827972,0.8669927716255188,0.8558257818222046,0.8082320094108582,0.7102442383766174,0.21984541416168213,0.870959997177124,0.8062125444412231
27,0.8536035418510437,0.7658038139343262,0.1671060025691986,0.8748306632041931,0.8617730736732483,0.8084232211112976,0.7104234099388123,0.21997925639152527,0.8602083325386047,0.8177215456962585
28,0.8502098917961121,0.762365996837616,0.17075443267822266,0.8724819421768188,0.8595985174179077,0.8080617189407349,0.7095363140106201,0.21978463232517242,0.8740914463996887,0.8021227121353149
29,0.8519135117530823,0.763860285282135,0.16872096061706543,0.8721244931221008,0.8629099726676941,0.8062976598739624,0.7086370587348938,0.22232100367546082,0.8759703040122986,0.7984693050384521
